	Entity Name	Alternative Name	Tag	Reference
471	Burma	Ava	Location	Yule
472	Burnell		No	Yule
473	Burnes		Person	Murray
474	Burning the Dead		No	Yule
475	Burrough		No	Yule
476	Burton		No	Yule
477	Bushell		Person	Yule
478	Butchers		No	Yule
479	Butiflis	Mutfili	No	Yule
480	Butler		No	Yule
481	Buyid dynasty		No	Yule
482	Báb-ul-abwáh		No	Yule
483	Bálti		No	Yule
484	Bátú		Person	Yule
485	Bír-dhúl		No	Yule
486	Búkú Khan		Location	Yule
487	Búrkán Káldún		No	Yule
488	Ca-cian-fu 	Ho-kien-fou	Location	Murray
489	Caaju		Location	Yule
490	Cabs		Location	Yule
491	Cacanfu	Hokiang-fu	Location	Yule
492	Cachanfu	Puchau-fu	Location	Yule
493	Cachar Modun		No	Yule
494	Cachilpatnam		No	Yule
495	Caesalpinia		No	Yule
496	Caesarea of Cappadocia	Casaria Kaisaríya	No	Yule
497	Cai-gui	Qua-tcheou	Location	Murray
498	Caichu		Location	Yule
499	Caidu		Person	Yule
500	Caiju		No	Yule
501	Cail	Káyal	Location	Yule
502	Caindu	Kien-chang	Location	Yule
503	Caingan	Ciangan	No	Yule
504	Cairo		Location	Yule
505	Caiton		Location	Yule
506	Cala Ataperistan	Kala Atishparastán	Location	Yule
507	Calachan	Kalaján	No	Yule
508	Calacian		Location	Murray
509	Calaiate		Location	Yule
510	Calamanz		No	Yule
511	Calamina		Location	Yule
512	Calatu 	Kalhat	Location	Murray
513	Caldwell		No	Yule
514	Calendar		No	Yule
515	Cali	Kael	Location	Murray
516	Calicut		Location	Yule
517	Calif	Khalif^	Person	Yule
518	Caligine		No	Yule
519	Camabaia	Cambay	Location	Murray
520	Camadi	 Dakiánús	No	Yule
521	Camandu		Location	Murray
522	Cambaluc	Khanbaligh	Location	Yule
523	Cambay	Cambaet	Location	Yule
524	Cambuscan		No	Yule
525	Camel-bird		No	Yule
526	Camels		No	Yule
527	Camexu		No	Yule
528	Camlets	cammellotti	No	Yule
529	Camoens		No	Yule
530	Camphor  trees in Fo-kien	Laurus Camphora	No	Yule
531	Campichu	Kanchau	Location	Yule
533	Can-giu 	Kiang-chan-fui	Location	Murray
534	Canal		No	Yule
535	Canale		No	Yule
536	Cananor		Location	Yule
537	Cananore		No	Yule
538	Canara		No	Yule
539	Cancamum		No	Yule
540	Canes		No	Yule
541	Cannibalism		No	Yule
542	Cannibals		No	Yule
